actor_url,actor_name,actor_gender,actor_race
https://www.imdb.com/name/nm1126528,Ronan Leahy,CM,
https://www.imdb.com/name/nm0390227,Larry Holden,CM,
https://www.imdb.com/name/nm0950954,Sai-Kit Yung,CM,
https://www.imdb.com/name/nm1940923,Patrick Nolan,CM,
https://www.imdb.com/name/nm1943055,Kwaku Ankomah,CM,
https://www.imdb.com/name/nm0060406,Alexandra Bastedo,CF,
https://www.imdb.com/name/nm0876891,Turbo Kong,CM,
https://www.imdb.com/name/nm1525717,David Bedella,CM,
https://www.imdb.com/name/nm1941353,Tenzin Gyurme,,
https://www.imdb.com/name/nm0568211,Martin McDougall,CM,
https://www.imdb.com/name/nm1080139,Jo Martin,,
https://www.imdb.com/name/nm0943179,Tom Wu,CM,
https://www.imdb.com/name/nm0000120,Jim Carrey,CM,
https://www.imdb.com/name/nm0000174,Val Kilmer,,
https://www.imdb.com/name/nm0000169,Tommy Lee Jones,CM,
https://www.imdb.com/name/nm0000173,Nicole Kidman,CF,
https://www.imdb.com/name/nm0000563,Chris O'Donnell,,
https://www.imdb.com/name/nm0600657,Philip Moon,CM,
https://www.imdb.com/name/nm0717055,Daniel Reichert,CM,
https://www.imdb.com/name/nm0779451,Kimberly Scott,CF,
https://www.imdb.com/name/nm0143784,Christopher Caso,CM,
https://www.imdb.com/name/nm1219831,Gary Clayton,CM,
https://www.imdb.com/name/nm0227046,Oscar Dillon,CM,
https://www.imdb.com/name/nm0334164,Keith Graham,CM,
https://www.imdb.com/name/nm0340485,Kevin Grevioux,CM,
https://www.imdb.com/name/nm0483002,Randy Lamb,CM,
https://www.imdb.com/name/nm0483673,Maurice Lamont,CM,
https://www.imdb.com/name/nm0490801,Sidney S. Liufau,,
https://www.imdb.com/name/nm0551997,Brad Martin,CM,
https://www.imdb.com/name/nm0564247,Deron McBee,CM,
https://www.imdb.com/name/nm0611178,Mario Mugavero,CM,
https://www.imdb.com/name/nm0625470,Joey Nelson,,
https://www.imdb.com/name/nm0658293,Jim Palmer,CM,
https://www.imdb.com/name/nm0682201,Peewee Piemonte,,
https://www.imdb.com/name/nm0705781,Peter Radon,CM,
https://www.imdb.com/name/nm0735028,François Rodrigue,CM,
https://www.imdb.com/name/nm0754589,Joe Sabatino,CM,
https://www.imdb.com/name/nm0760236,Ofer Samra,CM,
https://www.imdb.com/name/nm0797477,Matt Sigloch,CM,
https://www.imdb.com/name/nm0809371,Mike Smith,CM,
https://www.imdb.com/name/nm0341055,Joe Grifasi,CM,
https://www.imdb.com/name/nm0041281,Rene Auberjonois,,
https://www.imdb.com/name/nm0119003,Rebecca Budig,CF,
https://www.imdb.com/name/nm0440723,Gary Kasper,CM,
https://www.imdb.com/name/nm0000362,Danny DeVito,CM,
https://www.imdb.com/name/nm0000201,Michelle Pfeiffer,CF,
https://www.imdb.com/name/nm0000686,Christopher Walken,CM,
https://www.imdb.com/name/nm0614526,Michael Murphy,CM,
https://www.imdb.com/name/nm0571438,Travis McKenna,CM,
https://www.imdb.com/name/nm0331666,Robert Gossett,CM,
https://www.imdb.com/name/nm0174192,Cristi Conaway,,
https://www.imdb.com/name/nm0648534,Erik Onate,CM,
https://www.imdb.com/name/nm0117420,Andrew Bryniarski,CM,
https://www.imdb.com/name/nm0937059,Steve Witting,CM,
https://www.imdb.com/name/nm0923490,Sean Whalen,CM,
https://www.imdb.com/name/nm0001704,Vincent Schiavelli,CM,
https://www.imdb.com/name/nm0958658,Rick Zumwalt,CM,
https://www.imdb.com/name/nm0393660,Jan Hooks,CM,
https://www.imdb.com/name/nm0427964,Doug Jones,CM,
https://www.imdb.com/name/nm0026066,Erika Andersch,CF,
https://www.imdb.com/name/nm0432953,Joan Jurige,,
https://www.imdb.com/name/nm0316104,Joan Giammarco,,
https://www.imdb.com/name/nm0226009,Frank DiElsi,CM,
https://www.imdb.com/name/nm0220097,Joey DePinto,,
https://www.imdb.com/name/nm0192003,Gregory Scott Cummins,CM,
https://www.imdb.com/name/nm0388835,Cal Hoffman,,
https://www.imdb.com/name/nm0455437,Henry Kingi,CM,
https://www.imdb.com/name/nm0000123,George Clooney,CM,
https://www.imdb.com/name/nm0000235,Uma Thurman,,
https://www.imdb.com/name/nm0000216,Arnold Schwarzenegger,CM,
https://www.imdb.com/name/nm0000224,Alicia Silverstone,CF,
https://www.imdb.com/name/nm0001278,John Glover,CM,
https://www.imdb.com/name/nm0000512,Elle Macpherson,,
https://www.imdb.com/name/nm0761545,Elizabeth Sanders,CF,
https://www.imdb.com/name/nm0277822,John Fink,CM,
https://www.imdb.com/name/nm0151033,Michael Paul Chan,CM,
https://www.imdb.com/name/nm0000407,Vivica A. Fox,CF,
https://www.imdb.com/name/nm0441588,Nicky Katt,,
https://www.imdb.com/name/nm0006535,Doug Hutchison,CM,
https://www.imdb.com/name/nm0001570,Edward Norton,CM,
https://www.imdb.com/name/nm0302108,Zach Galifianakis,CM,
https://www.imdb.com/name/nm1297015,Emma Stone,,
https://www.imdb.com/name/nm0915208,Naomi Watts,CF,
https://www.imdb.com/name/nm2057859,Andrea Riseborough,,
https://www.imdb.com/name/nm0752407,Amy Ryan,CF,
https://www.imdb.com/name/nm0242026,Lindsay Duncan,,
https://www.imdb.com/name/nm0787892,Jeremy Shamos,CM,
https://www.imdb.com/name/nm0796251,Michael Siberry,CM,
https://www.imdb.com/name/nm0923266,Merritt Wever,,
https://www.imdb.com/name/nm0949433,Damian Young,CM,
https://www.imdb.com/name/nm0996134,Paula Pell,CF,
https://www.imdb.com/name/nm0276435,David Fierro,CM,
https://www.imdb.com/name/nm1932619,Natalie Gold,CF,
https://www.imdb.com/name/nm5320496,Brent Bateman,CM,
https://www.imdb.com/name/nm0012289,Stephen Adly Guirgis,CM,
https://www.imdb.com/name/nm1445699,Kyle Knauf,CM,
https://www.imdb.com/name/nm3465071,Dave Neal,CM,
https://www.imdb.com/name/nm4302007,Kelly Southerland,,
https://www.imdb.com/name/nm0181068,Janis Corsair,,
https://www.imdb.com/name/nm6827712,Hudson Flynn,CM,
https://www.imdb.com/name/nm4295500,Roberta Colindrez,CF,
https://www.imdb.com/name/nm0949208,William Youmans,CM,
https://www.imdb.com/name/nm0196185,Craig muMs Grant,CM,
https://www.imdb.com/name/nm1569276,Chadwick Boseman,CM,
https://www.imdb.com/name/nm0430107,Michael B. Jordan,CM,
https://www.imdb.com/name/nm4004793,Letitia Wright,CF,
https://www.imdb.com/name/nm0785227,Andy Serkis,,
https://www.imdb.com/name/nm0293509,Martin Freeman,CM,
https://www.imdb.com/name/nm2143282,Lupita Nyong'o,CF,
https://www.imdb.com/name/nm0001845,Forest Whitaker,,
https://www.imdb.com/name/nm2257207,Daniel Kaluuya,CM,
https://www.imdb.com/name/nm1250791,Sterling K. Brown,,
https://www.imdb.com/name/nm6328300,Winston Duke,CM,
https://www.imdb.com/name/nm0434712,John Kani,CM,
https://www.imdb.com/name/nm0000291,Angela Bassett,CF,
https://www.imdb.com/name/nm0207218,Isaach De Bankolé,CM,
https://www.imdb.com/name/nm0267432,Francesca Faridany,CF,
https://www.imdb.com/name/nm3696388,Trevor Noah,CM,
https://www.imdb.com/name/nm3571491,Sope Aluko,,
https://www.imdb.com/name/nm9607809,Tristan Timmons,CM,
https://www.imdb.com/name/nm0764527,Danny Sapani,CM,
https://www.imdb.com/name/nm1091701,Denzel Whitaker,CM,
https://www.imdb.com/name/nm1605085,David S. Lee,CM,
https://www.imdb.com/name/nm8852246,Nabiyah Be,,
https://www.imdb.com/name/nm0441042,Florence Kasumba,CF,
https://www.imdb.com/name/nm2818492,Atandwa Kani,,
https://www.imdb.com/name/nm8037970,Ashton Tyler,,
https://www.imdb.com/name/nm9607810,Thabo Moropane,CM,
https://www.imdb.com/name/nm9607811,Zani Mogodi,,
https://www.imdb.com/name/nm8691833,Chad Crumley,CM,
https://www.imdb.com/name/nm0001151,Stephen Dorff,CM,
https://www.imdb.com/name/nm0000648,Wesley Snipes,CM,
https://www.imdb.com/name/nm0942668,N'Bushe Wright,,
https://www.imdb.com/name/nm0001434,Kris Kristofferson,,
https://www.imdb.com/name/nm0006610,Donal Logue,CM,
https://www.imdb.com/name/nm0001424,Udo Kier,CM,
https://www.imdb.com/name/nm0005125,Sanaa Lathan,CF,
https://www.imdb.com/name/nm0347375,Tim Guinee,CM,
https://www.imdb.com/name/nm0249981,Eric Edwards,CM,
https://www.imdb.com/name/nm0382693,Keith Leon Williams,CM,
https://www.imdb.com/name/nm0431332,Arly Jover,,
https://www.imdb.com/name/nm0425543,Kenny Johnson,,
https://www.imdb.com/name/nm0858593,Carmen Thomas,CF,
https://www.imdb.com/name/nm0000183,Traci Lords,CF,
https://www.imdb.com/name/nm0007237,Leonor Varela,CF,
https://www.imdb.com/name/nm0005342,Norman Reedus,CM,
https://www.imdb.com/name/nm0470981,Thomas Kretschmann,CM,
https://www.imdb.com/name/nm0000579,Ron Perlman,CM,
https://www.imdb.com/name/nm0776580,Matt Schulze,CM,
https://www.imdb.com/name/nm0424253,Danny John-Jules,CM,
https://www.imdb.com/name/nm0331577,Luke Goss,CM,
https://www.imdb.com/name/nm0590641,Andrea Miltner,,
https://www.imdb.com/name/nm1126395,Marit Velle Kile,CF,
https://www.imdb.com/name/nm0782213,Santiago Segura,CM,
https://www.imdb.com/name/nm0192889,Tony Curran,CM,
https://www.imdb.com/name/nm0498523,Pete Lee-Wilson,CM,
https://www.imdb.com/name/nm0073231,Ladislav Beran,CM,
https://www.imdb.com/name/nm0005351,Ryan Reynolds,CM,
https://www.imdb.com/name/nm0383422,John Michael Higgins,CM,
https://www.imdb.com/name/nm0005169,Natasha Lyonne,CF,
https://www.imdb.com/name/nm0700712,Dominic Purcell,CM,
https://www.imdb.com/name/nm0000205,Parker Posey,,
https://www.imdb.com/name/nm0004754,Jessica Biel,CF,
https://www.imdb.com/name/nm0077623,Mark Berry,CM,
https://www.imdb.com/name/nm0001664,James Remar,CM,
https://www.imdb.com/name/nm0652663,Patton Oswalt,CM,
https://www.imdb.com/name/nm0382216,Christopher Heyerdahl,CM,
https://www.imdb.com/name/nm0719678,Callum Keith Rennie,CM,
https://www.imdb.com/name/nm1569714,Erica Cerra,CF,
https://www.imdb.com/name/nm0505391,Paul Levesque,CM,
https://www.imdb.com/name/nm0712649,Michael Anthony Rawlins,CM,
https://www.imdb.com/name/nm1477415,Ginger Page,,
https://www.imdb.com/name/nm0694313,Shannon Powell,,
https://www.imdb.com/name/nm0820605,Michael St. John Smith,CM,
https://www.imdb.com/name/nm0878141,Birkett Turton,CM,
https://www.imdb.com/name/nm0783498,Ron Selmour,CM,
https://www.imdb.com/name/nm0189162,Garvin Cross,CM,
https://www.imdb.com/name/nm0682072,Simon Pidgeon,CM,
https://www.imdb.com/name/nm1215853,Cascy Beddow,,
https://www.imdb.com/name/nm1457826,Paul Anthony,CM,
https://www.imdb.com/name/nm0000932,Halle Berry,,
https://www.imdb.com/name/nm0000973,Benjamin Bratt,CM,
https://www.imdb.com/name/nm0000232,Sharon Stone,CF,
https://www.imdb.com/name/nm0808990,Kim Smith,,
https://www.imdb.com/name/nm0542677,Byron Mann,CM,
https://www.imdb.com/name/nm0636105,Michael P. Northey,CM,
https://www.imdb.com/name/nm0542821,John Mann,CM,
https://www.imdb.com/name/nm0336125,Ona Grauer,CF,
https://www.imdb.com/name/nm0472261,Jill Krop,,
https://www.imdb.com/name/nm0344435,Ioan Gruffudd,CM,
https://www.imdb.com/name/nm0573037,Julian McMahon,CM,
https://www.imdb.com/name/nm0004695,Jessica Alba,CF,
https://www.imdb.com/name/nm0004821,Michael Chiklis,CM,
https://www.imdb.com/name/nm0512934,Hamish Linklater,CM,
https://www.imdb.com/name/nm0465959,Michael Kopsa,CM,
https://www.imdb.com/name/nm0913488,Kerry Washington,,
https://www.imdb.com/name/nm0014803,Andrew Airlie,CM,
https://www.imdb.com/name/nm1172764,Maria Menounos,CF,
https://www.imdb.com/name/nm0390229,Laurie Holden,CF,
https://www.imdb.com/name/nm1306686,Donavon Stinson,CM,
https://www.imdb.com/name/nm1966232,Jamie Little,,
https://www.imdb.com/name/nm0574081,Kevin McNulty,CM,
https://www.imdb.com/name/nm0413402,Dee Jay Jackson,,
https://www.imdb.com/name/nm1370984,Pascale Hutton,CF,
https://www.imdb.com/name/nm0224423,Jason Diablo,CM,
https://www.imdb.com/name/nm0662189,David Parker,CM,
https://www.imdb.com/name/nm1095942,Penelope Corrin,CF,
https://www.imdb.com/name/nm0187764,Brenda Crichlow,CF,
https://www.imdb.com/name/nm1740381,Nicole Muñoz,CF,
https://www.imdb.com/name/nm1970075,Bobby Bysouth,CM,
https://www.imdb.com/name/nm0331162,Peggy Gormley,CF,
https://www.imdb.com/name/nm0000621,Kurt Russell,CM,
https://www.imdb.com/name/nm0177896,Bradley Cooper,CM,
https://www.imdb.com/name/nm0740264,Michael Rooker,CM,
https://www.imdb.com/name/nm1176985,Dave Bautista,CM,
https://www.imdb.com/name/nm2962353,Pom Klementieff,,
https://www.imdb.com/name/nm4456120,Elizabeth Debicki,CF,
https://www.imdb.com/name/nm0000230,Sylvester Stallone,CM,
https://www.imdb.com/name/nm2884388,Chris Sullivan,,
https://www.imdb.com/name/nm2652095,Laura Haddock,CF,
https://www.imdb.com/name/nm0004874,Vin Diesel,,
https://www.imdb.com/name/nm0112871,Ben Browder,CM,
https://www.imdb.com/name/nm0012948,Steve Agee,CM,
https://www.imdb.com/name/nm0281107,Tommy Flanagan,CM,
https://www.imdb.com/name/nm6282315,Hannah Harlow,CF,
https://www.imdb.com/name/nm0428055,Evan Jones,,
https://www.imdb.com/name/nm1002694,Joe Fria,CM,
https://www.imdb.com/name/nm0742146,Michael Rosenbaum,CM,
https://www.imdb.com/name/nm0000706,Michelle Yeoh,CF,
https://www.imdb.com/name/nm0000609,Ving Rhames,,
https://www.imdb.com/name/nm5167893,Hilty Bowen,,
https://www.imdb.com/name/nm0018515,John Alexander,CM,
https://www.imdb.com/name/nm0910472,Anna Walton,CF,
https://www.imdb.com/name/nm0004757,Selma Blair,CF,
https://www.imdb.com/name/nm0001787,Jeffrey Tambor,CM,
https://www.imdb.com/name/nm0956722,Jeremy Zimmermann,CM,
https://www.imdb.com/name/nm0234541,Roy Dotrice,CM,
https://www.imdb.com/name/nm0576444,Michael Mehlmann,CM,
https://www.imdb.com/name/nm1808061,Mike Kelly,CM,
https://www.imdb.com/name/nm1336506,Andrew Hefler,CM,
https://www.imdb.com/name/nm0000134,Robert De Niro,CM,
https://www.imdb.com/name/nm5939164,Zazie Beetz,,
https://www.imdb.com/name/nm0281909,Glenn Fleshler,CM,
https://www.imdb.com/name/nm0913531,Sharon Washington,CF,
https://www.imdb.com/name/nm0191442,Brett Cullen,CM,
https://www.imdb.com/name/nm3109964,Brian Tyree Henry,CM,
https://www.imdb.com/name/nm0656929,Josh Pais,CM,
https://www.imdb.com/name/nm0131966,Bill Camp,CM,
https://www.imdb.com/name/nm6802489,Carl Lundstedt,CM,
https://www.imdb.com/name/nm0073121,Michael Benz,CM,
https://www.imdb.com/name/nm4757453,Ben Warheit,CM,
https://www.imdb.com/name/nm0549505,Marc Maron,CM,
https://www.imdb.com/name/nm0924154,Shea Whigham,,
https://www.imdb.com/name/nm5279916,Leigh Gill,,
https://www.imdb.com/name/nm0388061,Douglas Hodge,CM,
https://www.imdb.com/name/nm0939703,Frank Wood,CM,
https://www.imdb.com/name/nm5412083,Chris Redd,,
https://www.imdb.com/name/nm0055616,Greer Barnes,,
https://www.imdb.com/name/nm0406320,Ray Iannicelli,,
https://www.imdb.com/name/nm0127362,John Cenatiempo,CM,
https://www.imdb.com/name/nm6006902,Danny Schoch,CM,
https://www.imdb.com/name/nm0416932,Sondra James,CF,
https://www.imdb.com/name/nm8122257,Mick Szal,CM,
https://www.imdb.com/name/nm7898438,Vito Gerbino,CM,
https://www.imdb.com/name/nm10904409,Xavyer Ureña,CM,
https://www.imdb.com/name/nm9449041,Evan Rosado,,
https://www.imdb.com/name/nm10327922,Damian Emmanuel,CM,
https://www.imdb.com/name/nm0413168,Hugh Jackman,CM,
